,Date,Value
7,1987-12-01,17.05
8,1988-01-01,16.75
9,1988-02-01,15.73
10,1988-03-01,14.73
11,1988-04-01,16.6
12,1988-05-01,16.31
13,1988-06-01,15.54
14,1988-07-01,14.91
15,1988-08-01,14.89
16,1988-09-01,13.18
17,1988-10-01,12.41
18,1988-11-01,13.02
19,1988-12-01,15.31
20,1989-01-01,17.17
21,1989-02-01,16.89
27,1989-08-01,16.77
35,1990-04-01,16.61
36,1990-05-01,16.35
37,1990-06-01,15.1
38,1990-07-01,17.17
68,1993-01-01,17.39
74,1993-07-01,16.78
75,1993-08-01,16.7
76,1993-09-01,16.01
77,1993-10-01,16.61
78,1993-11-01,15.2
79,1993-12-01,13.73
80,1994-01-01,14.29
81,1994-02-01,13.8
82,1994-03-01,13.82
83,1994-04-01,15.23
84,1994-05-01,16.19
85,1994-06-01,16.76
87,1994-08-01,16.89
88,1994-09-01,15.9
89,1994-10-01,16.49
90,1994-11-01,17.19
91,1994-12-01,15.93
92,1995-01-01,16.55
93,1995-02-01,17.11
94,1995-03-01,17.01
97,1995-06-01,17.31
98,1995-07-01,15.85
99,1995-08-01,16.1
100,1995-09-01,16.7
101,1995-10-01,16.11
102,1995-11-01,16.86
127,1997-12-01,17.18
128,1998-01-01,15.19
129,1998-02-01,14.07
130,1998-03-01,13.1
131,1998-04-01,13.53
132,1998-05-01,14.36
133,1998-06-01,12.21
134,1998-07-01,12.08
135,1998-08-01,11.91
136,1998-09-01,13.34
137,1998-10-01,12.7
138,1998-11-01,11.04
139,1998-12-01,9.82
140,1999-01-01,11.11
141,1999-02-01,10.27
142,1999-03-01,12.51
143,1999-04-01,15.29
144,1999-05-01,15.23
145,1999-06-01,15.86
250,2008-03-01,103.64
251,2008-04-01,109.07
252,2008-05-01,122.8
253,2008-06-01,132.32
254,2008-07-01,132.72
255,2008-08-01,113.24
256,2008-09-01,97.23
284,2011-01-01,96.52
285,2011-02-01,103.72
286,2011-03-01,114.64
287,2011-04-01,123.26
288,2011-05-01,114.99
289,2011-06-01,113.83
290,2011-07-01,116.97
291,2011-08-01,110.22
292,2011-09-01,112.83
293,2011-10-01,109.55
294,2011-11-01,110.77
295,2011-12-01,107.87
296,2012-01-01,110.69
297,2012-02-01,119.33
298,2012-03-01,125.45
299,2012-04-01,119.75
300,2012-05-01,110.34
302,2012-07-01,102.62
303,2012-08-01,113.36
304,2012-09-01,112.86
305,2012-10-01,111.71
306,2012-11-01,109.06
307,2012-12-01,109.49
308,2013-01-01,112.96
309,2013-02-01,116.05
310,2013-03-01,108.47
311,2013-04-01,102.25
312,2013-05-01,102.56
313,2013-06-01,102.92
314,2013-07-01,107.93
315,2013-08-01,111.28
316,2013-09-01,111.6
317,2013-10-01,109.08
318,2013-11-01,107.79
319,2013-12-01,110.76
320,2014-01-01,108.12
321,2014-02-01,108.9
322,2014-03-01,107.48
323,2014-04-01,107.76
324,2014-05-01,109.54
325,2014-06-01,111.8
326,2014-07-01,106.77
327,2014-08-01,101.61
328,2014-09-01,97.09
